IlCe,Tempolu YUrUme, KoSu, YUzme, Bisiklet, Futbol,Basketbol, Tenis, Fitness, VUcut GeliStirme, Yoga, Pilates Vb., DOvUS Sporlarý, DiGer,
 ADALAR,9,1,3,0,0,0,0,1,0,0,0,
 ARNAVUTKOY,12,13,2,7,3,0,1,3,1,0,1,
 ATASEHIR,24,10,2,1,3,0,0,14,2,0,1,
 AVCILAR,8,1,1,1,5,1,0,1,1,0,0,
 BAGCILAR,15,9,4,2,5,1,0,4,1,0,0,
 BAHCELIEVLER,27,20,6,9,9,5,7,5,1,1,3,
 BAKIRKOY,61,6,2,4,2,2,0,11,10,0,7,
 BASAKSEHIR,59,37,44,12,11,4,2,7,4,2,4,
 BAYRAMPASA,13,9,6,1,1,0,0,15,2,1,9,
 BESIKTAS,20,3,3,1,0,2,1,11,5,0,3,
 BEYKOZ,10,1,2,1,3,2,0,8,0,1,1,
 BEYLIKDUZU,49,18,7,4,3,1,1,2,2,3,0,
 BEYOGLU,33,12,6,4,2,4,0,6,4,1,1,
 BUYUKCEKMECE,48,26,5,3,14,4,2,17,3,1,3,
 CATALCA,5,3,0,0,0,0,0,0,0,0,0,
 CEKMEKOY,7,3,2,4,2,1,0,2,1,0,0,
 ESENLER,16,2,0,0,3,0,1,10,3,0,0,
 ESENYURT,56,34,8,2,4,3,2,8,8,4,3,
 EYUPSULTAN,24,8,1,5,4,0,0,6,9,0,2,
 FATIH,8,0,1,0,0,0,0,1,0,0,0,
 GAZIOSMANPASA,26,3,2,2,3,4,0,11,4,1,3,
 GUNGOREN,14,6,1,0,2,0,2,6,4,0,0,
 KADIKOY,35,22,7,2,2,3,2,11,4,2,1,
 KAGITHANE,30,9,3,1,5,3,1,20,5,2,4,
 KARTAL,47,13,1,4,6,2,0,10,6,1,1,
 KUCUKCEKMECE,77,39,26,19,29,16,11,25,6,1,2,
 MALTEPE,40,7,2,2,6,2,2,11,4,1,0,
 PENDIK,59,20,8,1,6,0,0,21,7,1,1,
 SANCAKTEPE,18,1,2,0,5,0,0,6,3,0,3,
 SARIYER,24,2,1,2,2,1,1,6,3,1,0,
 SILIVRI,18,5,2,0,4,1,0,1,0,0,1,
 SULTANBEYLI,5,0,0,0,0,0,0,4,1,0,1,
 SULTANGAZI,22,5,6,0,1,0,0,4,1,2,2,
 SILE,5,6,3,2,1,0,0,2,1,0,0,
 SISLI,52,10,4,9,4,7,2,22,8,1,4,
 TUZLA,14,3,1,0,1,0,0,3,0,0,0,
 UMRANIYE,38,7,3,0,3,0,0,12,2,2,0,
 USKUDAR,47,12,7,2,2,2,0,14,8,2,1,
 ZEYTINBURNU,16,3,2,2,2,0,0,2,2,1,0,
